file_type,array_size,num_threads,num_cores,job_name,num_nodes,ntasks_per_node,time_spent
pythonWithThreads.py,1500,20,20,job526,1,1,279.2861
cOpenMP.c,1750,20,20,job527,1,1,1.484413
cPThread.c,1750,20,20,job528,1,1,1.841581
pythonWithThreads.py,1750,20,20,job529,1,1,464.1502
cOpenMP.c,2000,20,20,job530,1,1,1.912504
cPThread.c,2000,20,20,job531,1,1,2.711342
pythonWithThreads.py,2000,20,20,job532,1,1,694.3133
pythonNoThreads.py,200,1,1,job615,1,1,0.8019
pythonNoThreads.py,300,1,1,job616,1,1,2.8344
pythonNoThreads.py,400,1,1,job617,1,1,6.8034
pythonNoThreads.py,500,1,1,job618,1,1,11.7736
pythonNoThreads.py,750,1,1,job619,1,1,46.1761
pythonNoThreads.py,1000,1,1,job620,1,1,110.3648
pythonNoThreads.py,1250,1,1,job621,1,1,204.3619
pythonNoThreads.py,1500,1,1,job622,1,1,358.1194
pythonNoThreads.py,1750,1,1,job623,1,1,619.8163
pythonNoThreads.py,2000,1,1,job624,1,1,958.9245
cOpenMP.c,100,20,20,job533,2,1,0.032544
pythonWithThreads.py,200,20,20,job630,1,1,0.9426
cPThread.c,100,20,20,job534,2,1,0.001223
pythonWithThreads.py,300,20,20,job631,1,1,1.9861
pythonWithThreads.py,100,20,20,job535,2,1,0.0747
pythonWithThreads.py,400,20,20,job632,1,1,4.7457
pythonWithThreads.py,500,20,20,job633,1,1,9.0862
pythonWithThreads.py,750,20,20,job634,1,1,30.9458
pythonWithThreads.py,1000,20,20,job635,1,1,129.3538
pythonWithThreads.py,1250,20,20,job636,1,1,267.2103
pythonWithThreads.py,1500,20,20,job637,1,1,475.8205
pythonWithThreads.py,1750,20,20,job638,1,1,430.9005
pythonWithThreads.py,2000,20,20,job639,1,1,663.1761
cOpenMP.c,200,20,20,job650,1,1,0.013778
cOpenMP.c,300,20,20,job651,1,1,0.026313
cOpenMP.c,400,20,20,job652,1,1,0.034178
cOpenMP.c,500,20,20,job653,1,1,0.065008
cOpenMP.c,750,20,20,job654,1,1,0.173082
cOpenMP.c,1000,20,20,job655,1,1,0.261946
cOpenMP.c,1250,20,20,job656,1,1,0.815637
cOpenMP.c,1500,20,20,job657,1,1,0.835823
cOpenMP.c,1750,20,20,job658,1,1,3.772656
cOpenMP.c,2000,20,20,job659,1,1,2.694654
cPThread.c,200,20,20,job670,1,1,0.007172
cPThread.c,300,20,20,job671,1,1,0.015517
cPThread.c,400,20,20,job672,1,1,0.041223
cPThread.c,500,20,20,job673,1,1,0.237496
cPThread.c,750,20,20,job674,1,1,0.250797
cPThread.c,1000,20,20,job675,1,1,0.555424
cPThread.c,1250,20,20,job676,1,1,0.998669
cPThread.c,1500,20,20,job677,1,1,1.488796
cPThread.c,1750,20,20,job678,1,1,2.334118
cPThread.c,2000,20,20,job679,1,1,2.714816
cOpenMP.c,200,20,20,job536,2,1,0.027810
cPThread.c,200,20,20,job537,2,1,0.007083
pythonWithThreads.py,200,20,20,job538,2,1,0.9524
cOpenMP.c,300,20,20,job539,2,1,0.018816
cPThread.c,300,20,20,job540,2,1,0.039863
pythonWithThreads.py,300,20,20,job541,2,1,2.1187
cOpenMP.c,400,20,20,job542,2,1,0.031334
cPThread.c,400,20,20,job543,2,1,0.054470
pythonWithThreads.py,400,20,20,job544,2,1,4.8348
cOpenMP.c,500,20,20,job545,2,1,0.116539
cPThread.c,500,20,20,job546,2,1,0.075017
pythonWithThreads.py,500,20,20,job547,2,1,11.6344
cOpenMP.c,750,20,20,job548,2,1,0.203435
cPThread.c,750,20,20,job549,2,1,0.351180
pythonWithThreads.py,750,20,20,job550,2,1,53.0272
cOpenMP.c,1000,20,20,job551,2,1,0.364653
cPThread.c,1000,20,20,job552,2,1,0.675486
pythonWithThreads.py,1000,20,20,job553,2,1,130.1681
cOpenMP.c,1250,20,20,job554,2,1,1.505901
cPThread.c,1250,20,20,job555,2,1,1.732757
pythonWithThreads.py,1250,20,20,job556,2,1,264.5900
cOpenMP.c,1500,20,20,job557,2,1,1.665026
cPThread.c,1500,20,20,job558,2,1,1.756317
cNoThread.c,250,1,1,job710,1,1,0.070202
cNoThread.c,300,1,1,job711,1,1,0.120107
cNoThread.c,400,1,1,job712,1,1,0.286581
cNoThread.c,500,1,1,job713,1,1,0.483083
cNoThread.c,750,1,1,job714,1,1,1.614087
cNoThread.c,1000,1,1,job715,1,1,4.017049
cNoThread.c,1250,1,1,job716,1,1,7.299563
cNoThread.c,1500,1,1,job717,1,1,21.378989
cNoThread.c,1750,1,1,job718,1,1,33.908605
cNoThread.c,2000,1,1,job719,1,1,43.741459
pythonWithThreads.py,1500,20,20,job559,2,1,474.3992
cOpenMP.c,1750,20,20,job560,2,1,2.696359
cPThread.c,1750,20,20,job561,2,1,3.345216
cOpenMP.c,100,20,20,job566,3,1,0.004046
pythonWithThreads.py,1750,20,20,job562,2,1,613.4647
cOpenMP.c,2000,20,20,job563,2,1,3.688549
cPThread.c,100,20,20,job567,3,1,0.001113
